Sample_ID,Year,Country,Continent,Beta.lactamase,Azithromycin,Ciprofloxacin,Ceftriaxone,Cefixime,Tetracycline,Penicillin,NG_MAST,Group,azm_mic,cip_mic,cro_mic,cfx_mic,tet_mic,pen_mic,log2_azm_mic,log2_cip_mic,log2_cro_mic,log2_cfx_mic,log2_tet_mic,log2_pen_mic,azm_sr,cip_sr,cro_sr,cfx_sr,tet_sr,pen_sr
17138_1#34,2013,Denmark,Europe,,0.5,32,0.016,0.064,,,1407,127,0.5,32,0.016,0.064,NA,NA,-1,5,-5.965784285,-3.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#35,2013,Denmark,Europe,,0.064,2,0.004,0.016,,,11032,719,0.064,2,0.004,0.016,NA,NA,-3.965784285,1,-7.965784285,-5.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#36,2013,Sweden,Europe,,0.75,32,0.064,0.125,,,5533,892,0.75,32,0.064,0.125,NA,NA,-0.415037499,5,-3.965784285,-3,NA,NA,0,1,0,0,NA,NA
17138_1#37,2013,Sweden,Europe,,0.25,0.012,0.023,0.032,,,5445,888,0.25,0.012,0.023,0.032,NA,NA,-2,-6.380821784,-5.442222329,-4.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#38,2013,Sweden,Europe,,0.047,8,0.006,0.047,,,2569,810,0.047,8,0.006,0.047,NA,NA,-4.411195433,3,-7.380821784,-4.411195433,NA,NA,0,1,0,0,NA,NA
17138_1#39,2013,Sweden,Europe,,0.047,12,0.006,0.023,,,2569,810,0.047,12,0.006,0.023,NA,NA,-4.411195433,3.584962501,-7.380821784,-5.442222329,NA,NA,0,1,0,0,NA,NA
17138_1#4,2013,Denmark,Europe,,0.5,32,0.064,0.5,,,1407,127,0.5,32,0.064,0.5,NA,NA,-1,5,-3.965784285,-1,NA,NA,0,1,0,0,NA,NA
17138_1#40,2013,Sweden,Europe,,0.19,4,0.004,0.016,,,10001,657,0.19,4,0.004,0.016,NA,NA,-2.395928676,2,-7.965784285,-5.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#41,2013,Sweden,Europe,,0.5,0.016,0.032,0.016,,,5445,888,0.5,0.016,0.032,0.016,NA,NA,-1,-5.965784285,-4.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#42,2013,Sweden,Europe,,0.25,32,0.032,0.047,,,2400,186,0.25,32,0.032,0.047,NA,NA,-2,5,-4.965784285,-4.411195433,NA,NA,0,1,0,0,NA,NA
17138_1#43,2013,Sweden,Europe,,0.19,0.006,0.008,0.016,,,995,650,0.19,0.006,0.008,0.016,NA,NA,-2.395928676,-7.380821784,-6.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#44,2013,Sweden,Europe,,0.125,32,0.032,0.032,,,10002,658,0.125,32,0.032,0.032,NA,NA,-3,5,-4.965784285,-4.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#45,2013,Sweden,Europe,,0.5,0.016,0.023,0.023,,,5445,888,0.5,0.016,0.023,0.023,NA,NA,-1,-5.965784285,-5.442222329,-5.442222329,NA,NA,0,0,0,0,NA,NA
17138_1#46,2013,Sweden,Europe,,0.047,0.004,0.002,0.016,,,10000,656,0.047,0.004,0.002,0.016,NA,NA,-4.411195433,-7.965784285,-8.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#47,2013,Sweden,Europe,,0.094,0.006,0.002,0.016,,,358,832,0.094,0.006,0.002,0.016,NA,NA,-3.411195433,-7.380821784,-8.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#48,2013,Sweden,Europe,,0.75,32,0.047,0.125,,,8953,631,0.75,32,0.047,0.125,NA,NA,-0.415037499,5,-4.411195433,-3,NA,NA,0,1,0,0,NA,NA
17138_1#49,2013,Sweden,Europe,,0.25,32,0.047,0.047,,,225,179,0.25,32,0.047,0.047,NA,NA,-2,5,-4.411195433,-4.411195433,NA,NA,0,1,0,0,NA,NA
17138_1#5,2013,Denmark,Europe,,0.25,0.003,0.002,0.016,,,1993,168,0.25,0.003,0.002,0.016,NA,NA,-2,-8.380821784,-8.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#50,2013,Sweden,Europe,,0.5,6,0.004,0.016,,,-,1,0.5,6,0.004,0.016,NA,NA,-1,2.584962501,-7.965784285,-5.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#51,2013,Sweden,Europe,,0.5,0.006,0.006,0.016,,,7445,929,0.5,0.006,0.006,0.016,NA,NA,-1,-7.380821784,-7.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#52,2013,Sweden,Europe,,0.38,3,0.023,0.023,,,368,245,0.38,3,0.023,0.023,NA,NA,-1.395928676,1.584962501,-5.442222329,-5.442222329,NA,NA,0,1,0,0,NA,NA
17138_1#53,2013,Sweden,Europe,,0.25,32,0.032,0.023,,,6974,383,0.25,32,0.032,0.023,NA,NA,-2,5,-4.965784285,-5.442222329,NA,NA,0,1,0,0,NA,NA
17138_1#54,2013,Sweden,Europe,,0.5,32,0.094,0.125,,,5533,892,0.5,32,0.094,0.125,NA,NA,-1,5,-3.411195433,-3,NA,NA,0,1,0,0,NA,NA
17138_1#55,2013,Sweden,Europe,,0.25,0.004,0.003,0.016,,,9901,1008,0.25,0.004,0.003,0.016,NA,NA,-2,-7.965784285,-8.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#56,2013,Sweden,Europe,,0.5,0.006,0.003,0.016,,,4758,862,0.5,0.006,0.003,0.016,NA,NA,-1,-7.380821784,-8.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#57,2013,Sweden,Europe,,0.5,0.003,0.003,0.016,,,2992,206,0.5,0.003,0.003,0.016,NA,NA,-1,-8.380821784,-8.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#58,2013,Sweden,Europe,,0.064,3,0.008,0.023,,,3128,210,0.064,3,0.008,0.023,NA,NA,-3.965784285,1.584962501,-6.965784285,-5.442222329,NA,NA,0,1,0,0,NA,NA
17138_1#59,2013,Sweden,Europe,,0.032,0.004,0.002,0.016,,,10000,656,0.032,0.004,0.002,0.016,NA,NA,-4.965784285,-7.965784285,-8.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#6,2013,Denmark,Europe,,0.047,3,0.002,0.016,,,11028,717,0.047,3,0.002,0.016,NA,NA,-4.411195433,1.584962501,-8.965784285,-5.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#60,2013,Sweden,Europe,,0.38,32,0.047,0.064,,,8953,631,0.38,32,0.047,0.064,NA,NA,-1.395928676,5,-4.411195433,-3.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#61,2013,Sweden,Europe,,0.5,0.016,0.012,0.016,,,5445,888,0.5,0.016,0.012,0.016,NA,NA,-1,-5.965784285,-6.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#62,2013,Sweden,Europe,,0.125,4,0.003,0.016,,,10012,661,0.125,4,0.003,0.016,NA,NA,-3,2,-8.380821784,-5.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#63,2013,Greece,Europe,,0.125,0.006,0.012,0.016,,,292,203,0.125,0.006,0.012,0.016,NA,NA,-3,-7.380821784,-6.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#64,2013,Greece,Europe,,2,0.016,0.094,0.125,,,8329,614,2,0.016,0.094,0.125,NA,NA,1,-5.965784285,-3.411195433,-3,NA,NA,0,0,0,0,NA,NA
17138_1#65,2013,Greece,Europe,,0.25,0.016,0.008,0.016,,,4528,856,0.25,0.016,0.008,0.016,NA,NA,-2,-5.965784285,-6.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#66,2013,Greece,Europe,,0.75,32,0.032,0.032,,,11055,505,0.75,32,0.032,0.032,NA,NA,-0.415037499,5,-4.965784285,-4.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#67,2013,Hungary,Europe,,,,0.023,0.032,,,995,650,NA,NA,0.023,0.032,NA,NA,NA,NA,-5.442222329,-4.965784285,NA,NA,NA,NA,0,0,NA,NA
17138_1#68,2013,Hungary,Europe,,,,0.023,0.047,,,8343,957,NA,NA,0.023,0.047,NA,NA,NA,NA,-5.442222329,-4.411195433,NA,NA,NA,NA,0,0,NA,NA
17138_1#69,2013,Sweden,Europe,,0.25,8,0.016,0.016,,,10011,660,0.25,8,0.016,0.016,NA,NA,-2,3,-5.965784285,-5.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#7,2013,Denmark,Europe,,0.125,0.5,0.006,0.064,,,4530,857,0.125,0.5,0.006,0.064,NA,NA,-3,-1,-7.380821784,-3.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#70,2013,Sweden,Europe,,0.047,2,0.008,0.032,,,3128,210,0.047,2,0.008,0.032,NA,NA,-4.411195433,1,-6.965784285,-4.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#71,2013,Sweden,Europe,,0.047,2,0.012,0.047,,,3128,210,0.047,2,0.012,0.047,NA,NA,-4.411195433,1,-6.380821784,-4.411195433,NA,NA,0,1,0,0,NA,NA
17138_1#72,2013,Sweden,Europe,,0.5,32,0.047,0.023,,,1103,9,0.5,32,0.047,0.023,NA,NA,-1,5,-4.411195433,-5.442222329,NA,NA,0,1,0,0,NA,NA
17138_1#73,2013,Sweden,Europe,,0.125,2,0.008,0.016,,,1479,787,0.125,2,0.008,0.016,NA,NA,-3,1,-6.965784285,-5.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#74,2013,Sweden,Europe,,0.25,32,0.023,0.016,,,6974,383,0.25,32,0.023,0.016,NA,NA,-2,5,-5.442222329,-5.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#75,2013,Slovenia,Europe,,,,0.032,0.094,,,4977,874,NA,NA,0.032,0.094,NA,NA,NA,NA,-4.965784285,-3.411195433,NA,NA,NA,NA,0,0,NA,NA
17138_1#76,2013,Slovenia,Europe,,,,0.016,0.016,,,21,171,NA,NA,0.016,0.016,NA,NA,NA,NA,-5.965784285,-5.965784285,NA,NA,NA,NA,0,0,NA,NA
17138_1#77,2013,Slovenia,Europe,,,,0.008,0.016,,,10833,706,NA,NA,0.008,0.016,NA,NA,NA,NA,-6.965784285,-5.965784285,NA,NA,NA,NA,0,0,NA,NA
17138_1#78,2013,Slovenia,Europe,,,,0.008,0.016,,,10798,472,NA,NA,0.008,0.016,NA,NA,NA,NA,-6.965784285,-5.965784285,NA,NA,NA,NA,0,0,NA,NA
17138_1#79,2013,Slovenia,Europe,,,,0.012,0.016,,,10798,472,NA,NA,0.012,0.016,NA,NA,NA,NA,-6.380821784,-5.965784285,NA,NA,NA,NA,0,0,NA,NA
17138_1#8,2013,Denmark,Europe,,0.25,0.003,0.002,0.016,,,1993,168,0.25,0.003,0.002,0.016,NA,NA,-2,-8.380821784,-8.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#80,2013,Slovenia,Europe,,,,0.004,0.016,,,10832,705,NA,NA,0.004,0.016,NA,NA,NA,NA,-7.965784285,-5.965784285,NA,NA,NA,NA,0,0,NA,NA
17138_1#81,2013,Slovenia,Europe,,,0.008,0.023,0.016,,,10797,696,NA,0.008,0.023,0.016,NA,NA,NA,-6.965784285,-5.442222329,-5.965784285,NA,NA,NA,0,0,0,NA,NA
17138_1#82,2013,Belgium,Europe,,0.25,8,0.06,0.125,,,1407,127,0.25,8,0.06,0.125,NA,NA,-2,3,-4.058893689,-3,NA,NA,0,1,0,0,NA,NA
17138_1#83,2013,Belgium,Europe,,0.5,8,0.03,0.06,,,1407,127,0.5,8,0.03,0.06,NA,NA,-1,3,-5.058893689,-4.058893689,NA,NA,0,1,0,0,NA,NA
17138_1#84,2013,Belgium,Europe,,0.5,8,0.06,0.06,,,2400,186,0.5,8,0.06,0.06,NA,NA,-1,3,-4.058893689,-4.058893689,NA,NA,0,1,0,0,NA,NA
17138_1#85,2013,Belgium,Europe,,0.5,8,0.015,0.015,,,11007,713,0.5,8,0.015,0.015,NA,NA,-1,3,-6.058893689,-6.058893689,NA,NA,0,1,0,0,NA,NA
17138_1#86,2013,Belgium,Europe,,0.5,4,0.008,0.008,,,1691,148,0.5,4,0.008,0.008,NA,NA,-1,2,-6.965784285,-6.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#87,2013,Belgium,Europe,,0.125,0.004,0.004,0.008,,,11006,712,0.125,0.004,0.004,0.008,NA,NA,-3,-7.965784285,-7.965784285,-6.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#88,2013,Belgium,Europe,,0.5,0.015,0.015,0.03,,,21,171,0.5,0.015,0.015,0.03,NA,NA,-1,-6.058893689,-6.058893689,-5.058893689,NA,NA,0,0,0,0,NA,NA
17138_1#89,2013,Belgium,Europe,,0.5,4,0.015,0.015,,,11008,714,0.5,4,0.015,0.015,NA,NA,-1,2,-6.058893689,-6.058893689,NA,NA,0,1,0,0,NA,NA
17138_1#9,2013,Denmark,Europe,,0.38,32,0.094,0.5,,,1407,127,0.38,32,0.094,0.5,NA,NA,-1.395928676,5,-3.411195433,-1,NA,NA,0,1,0,0,NA,NA
17138_1#90,2013,Belgium,Europe,,0.5,4,0.008,0.008,,,5624,339,0.5,4,0.008,0.008,NA,NA,-1,2,-6.965784285,-6.965784285,NA,NA,0,1,0,0,NA,NA
17138_1#91,2013,Belgium,Europe,,0.125,0.004,0.002,0.008,,,387,271,0.125,0.004,0.002,0.008,NA,NA,-3,-7.965784285,-8.965784285,-6.965784285,NA,NA,0,0,0,0,NA,NA
17138_1#92,2013,Belgium,Europe,,0.125,0.004,0.001,0.004,,,387,271,0.125,0.004,0.001,0.004,NA,NA,-3,-7.965784285,-9.965784285,-7.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#1,2013,The Netherlands,Europe,,0.19,32,0.016,0.016,,,5094,562,0.19,32,0.016,0.016,NA,NA,-2.395928676,5,-5.965784285,-5.965784285,NA,NA,0,1,0,0,NA,NA
17150_2#10,2013,The Netherlands,Europe,,0.25,0.003,0.008,0.016,,,2992,206,0.25,0.003,0.008,0.016,NA,NA,-2,-8.380821784,-6.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#11,2013,The Netherlands,Europe,,0.25,0.012,0.016,0.016,,,1034,455,0.25,0.012,0.016,0.016,NA,NA,-2,-6.380821784,-5.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#12,2013,The Netherlands,Europe,,0.38,0.006,0.008,0.016,,,11061,725,0.38,0.006,0.008,0.016,NA,NA,-1.395928676,-7.380821784,-6.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#13,2013,The Netherlands,Europe,,0.094,0.003,0.008,0.016,,,11062,726,0.094,0.003,0.008,0.016,NA,NA,-3.411195433,-8.380821784,-6.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#14,2013,The Netherlands,Europe,,0.094,0.004,0.004,0.016,,,8919,976,0.094,0.004,0.004,0.016,NA,NA,-3.411195433,-7.965784285,-7.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#15,2013,The Netherlands,Europe,,0.38,0.003,0.004,0.016,,,2992,206,0.38,0.003,0.004,0.016,NA,NA,-1.395928676,-8.380821784,-7.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#16,2013,The Netherlands,Europe,,0.19,0.012,0.023,0.016,,,2992,206,0.19,0.012,0.023,0.016,NA,NA,-2.395928676,-6.380821784,-5.442222329,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#17,2013,The Netherlands,Europe,,0.19,0.003,0.003,0.016,,,11063,727,0.19,0.003,0.003,0.016,NA,NA,-2.395928676,-8.380821784,-8.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#18,2013,The Netherlands,Europe,,0.125,0.003,0.012,0.016,,,4248,550,0.125,0.003,0.012,0.016,NA,NA,-3,-8.380821784,-6.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#19,2013,The Netherlands,Europe,,0.38,0.004,0.004,0.016,,,2992,206,0.38,0.004,0.004,0.016,NA,NA,-1.395928676,-7.965784285,-7.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#2,2013,The Netherlands,Europe,,0.19,32,0.032,0.023,,,2400,186,0.19,32,0.032,0.023,NA,NA,-2.395928676,5,-4.965784285,-5.442222329,NA,NA,0,1,0,0,NA,NA
17150_2#20,2013,The Netherlands,Europe,,0.25,12,0.047,0.032,,,2400,186,0.25,12,0.047,0.032,NA,NA,-2,3.584962501,-4.411195433,-4.965784285,NA,NA,0,1,0,0,NA,NA
17150_2#21,2013,The Netherlands,Europe,,0.125,0.008,0.004,0.016,,,1034,455,0.125,0.008,0.004,0.016,NA,NA,-3,-6.965784285,-7.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#22,2013,The Netherlands,Europe,,0.19,3,0.008,0.016,,,5624,339,0.19,3,0.008,0.016,NA,NA,-2.395928676,1.584962501,-6.965784285,-5.965784285,NA,NA,0,1,0,0,NA,NA
17150_2#23,2013,The Netherlands,Europe,,0.19,4,0.008,0.016,,,4995,559,0.19,4,0.008,0.016,NA,NA,-2.395928676,2,-6.965784285,-5.965784285,NA,NA,0,1,0,0,NA,NA
17150_2#24,2013,The Netherlands,Europe,,0.25,3,0.006,0.016,,,5624,339,0.25,3,0.006,0.016,NA,NA,-2,1.584962501,-7.380821784,-5.965784285,NA,NA,0,1,0,0,NA,NA
17150_2#25,2013,The Netherlands,Europe,,0.094,0.004,0.006,0.016,,,2,536,0.094,0.004,0.006,0.016,NA,NA,-3.411195433,-7.965784285,-7.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#26,2013,The Netherlands,Europe,,0.25,0.008,0.016,0.016,,,11064,728,0.25,0.008,0.016,0.016,NA,NA,-2,-6.965784285,-5.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#27,2013,The Netherlands,Europe,,0.19,0.002,0.004,0.016,,,5793,899,0.19,0.002,0.004,0.016,NA,NA,-2.395928676,-8.965784285,-7.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#28,2013,The Netherlands,Europe,,0.064,0.003,0.002,0.016,,,6232,906,0.064,0.003,0.002,0.016,NA,NA,-3.965784285,-8.380821784,-8.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#29,2013,The Netherlands,Europe,,0.19,0.002,0.003,0.016,,,8154,951,0.19,0.002,0.003,0.016,NA,NA,-2.395928676,-8.965784285,-8.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#3,2013,The Netherlands,Europe,,0.38,0.002,0.006,0.016,,,2992,206,0.38,0.002,0.006,0.016,NA,NA,-1.395928676,-8.965784285,-7.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#30,2013,The Netherlands,Europe,,0.19,0.003,0.003,0.016,,,5519,890,0.19,0.003,0.003,0.016,NA,NA,-2.395928676,-8.380821784,-8.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#31,2013,The Netherlands,Europe,,0.125,0.004,0.006,0.016,,,8919,976,0.125,0.004,0.006,0.016,NA,NA,-3,-7.965784285,-7.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#32,2013,The Netherlands,Europe,,0.016,0.003,0.003,0.016,,,11065,729,0.016,0.003,0.003,0.016,NA,NA,-5.965784285,-8.380821784,-8.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#33,2013,The Netherlands,Europe,,1,0.023,0.047,0.016,,,11066,730,1,0.023,0.047,0.016,NA,NA,0,-5.442222329,-4.411195433,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#34,2013,The Netherlands,Europe,,0.094,0.002,0.003,0.016,,,5441,567,0.094,0.002,0.003,0.016,NA,NA,-3.411195433,-8.965784285,-8.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#36,2013,The Netherlands,Europe,,0.25,8,0.032,0.032,,,11068,732,0.25,8,0.032,0.032,NA,NA,-2,3,-4.965784285,-4.965784285,NA,NA,0,1,0,0,NA,NA
17150_2#37,2013,The Netherlands,Europe,,0.25,0.004,0.003,0.016,,,374,838,0.25,0.004,0.003,0.016,NA,NA,-2,-7.965784285,-8.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#38,2013,The Netherlands,Europe,,0.094,0.003,0.004,0.016,,,3003,815,0.094,0.003,0.004,0.016,NA,NA,-3.411195433,-8.380821784,-7.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#39,2013,The Netherlands,Europe,,0.25,24,0.094,0.094,,,6827,917,0.25,24,0.094,0.094,NA,NA,-2,4.584962501,-3.411195433,-3.411195433,NA,NA,0,1,0,0,NA,NA
17150_2#4,2013,The Netherlands,Europe,,0.125,16,0.047,0.023,,,13298,776,0.125,16,0.047,0.023,NA,NA,-3,4,-4.411195433,-5.442222329,NA,NA,0,1,0,0,NA,NA
17150_2#40,2013,The Netherlands,Europe,,0.25,32,0.047,0.047,,,3806,840,0.25,32,0.047,0.047,NA,NA,-2,5,-4.411195433,-4.411195433,NA,NA,0,1,0,0,NA,NA
17150_2#41,2013,The Netherlands,Europe,,0.094,0.003,0.008,0.016,,,11070,733,0.094,0.003,0.008,0.016,NA,NA,-3.411195433,-8.380821784,-6.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#42,2013,The Netherlands,Europe,,0.125,0.003,0.003,0.016,,,5793,899,0.125,0.003,0.003,0.016,NA,NA,-3,-8.380821784,-8.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#43,2013,The Netherlands,Europe,,0.047,0.002,0.016,0.016,,,11070,733,0.047,0.002,0.016,0.016,NA,NA,-4.411195433,-8.965784285,-5.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#44,2013,The Netherlands,Europe,,0.125,0.012,0.006,0.016,,,8433,617,0.125,0.012,0.006,0.016,NA,NA,-3,-6.380821784,-7.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#45,2013,The Netherlands,Europe,,0.19,0.016,0.016,0.016,,,11075,735,0.19,0.016,0.016,0.016,NA,NA,-2.395928676,-5.965784285,-5.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#46,2013,The Netherlands,Europe,,0.25,0.003,0.004,0.016,,,2992,206,0.25,0.003,0.004,0.016,NA,NA,-2,-8.380821784,-7.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#47,2013,The Netherlands,Europe,,0.25,32,0.047,0.016,,,2400,186,0.25,32,0.047,0.016,NA,NA,-2,5,-4.411195433,-5.965784285,NA,NA,0,1,0,0,NA,NA
17150_2#48,2013,The Netherlands,Europe,,0.19,16,0.064,0.016,,,10257,670,0.19,16,0.064,0.016,NA,NA,-2.395928676,4,-3.965784285,-5.965784285,NA,NA,0,1,0,0,NA,NA
17150_2#49,2013,The Netherlands,Europe,,0.125,0.008,0.012,0.016,,,5,317,0.125,0.008,0.012,0.016,NA,NA,-3,-6.965784285,-6.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#5,2013,The Netherlands,Europe,,0.25,0.003,0.003,0.016,,,2992,206,0.25,0.003,0.003,0.016,NA,NA,-2,-8.380821784,-8.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#50,2013,The Netherlands,Europe,,0.125,12,0.047,0.032,,,2400,186,0.125,12,0.047,0.032,NA,NA,-3,3.584962501,-4.411195433,-4.965784285,NA,NA,0,1,0,0,NA,NA
17150_2#51,2013,The Netherlands,Europe,,0.19,8,0.032,0.023,,,2400,186,0.19,8,0.032,0.023,NA,NA,-2.395928676,3,-4.965784285,-5.442222329,NA,NA,0,1,0,0,NA,NA
17150_2#52,2013,The Netherlands,Europe,,0.25,0.004,0.003,0.016,,,8154,951,0.25,0.004,0.003,0.016,NA,NA,-2,-7.965784285,-8.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#53,2013,The Netherlands,Europe,,0.094,0.002,0.003,0.016,,,4643,859,0.094,0.002,0.003,0.016,NA,NA,-3.411195433,-8.965784285,-8.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#54,2013,The Netherlands,Europe,,0.19,12,0.047,0.023,,,11072,734,0.19,12,0.047,0.023,NA,NA,-2.395928676,3.584962501,-4.411195433,-5.442222329,NA,NA,0,1,0,0,NA,NA
17150_2#55,2013,The Netherlands,Europe,,0.125,0.003,0.004,0.016,,,8919,976,0.125,0.003,0.004,0.016,NA,NA,-3,-8.380821784,-7.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#56,2013,The Netherlands,Europe,,0.047,0.75,0.004,0.016,,,1285,521,0.047,0.75,0.004,0.016,NA,NA,-4.411195433,-0.415037499,-7.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#57,2013,The Netherlands,Europe,,0.25,0.004,0.004,0.016,,,8154,951,0.25,0.004,0.004,0.016,NA,NA,-2,-7.965784285,-7.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#58,2013,Sweden,Europe,,1,0.006,0.006,0.016,,,7445,929,1,0.006,0.006,0.016,NA,NA,0,-7.380821784,-7.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#59,2013,Sweden,Europe,,0.38,32,0.047,0.023,,,1103,9,0.38,32,0.047,0.023,NA,NA,-1.395928676,5,-4.411195433,-5.442222329,NA,NA,0,1,0,0,NA,NA
17150_2#6,2013,The Netherlands,Europe,,0.19,32,0.064,0.047,,,4822,313,0.19,32,0.064,0.047,NA,NA,-2.395928676,5,-3.965784285,-4.411195433,NA,NA,0,1,0,0,NA,NA
17150_2#60,2013,Sweden,Europe,,0.5,32,0.094,0.125,,,10006,659,0.5,32,0.094,0.125,NA,NA,-1,5,-3.411195433,-3,NA,NA,0,1,0,0,NA,NA
17150_2#61,2013,Sweden,Europe,,0.38,0.004,0.004,0.016,,,7164,589,0.38,0.004,0.004,0.016,NA,NA,-1.395928676,-7.965784285,-7.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#62,2013,Sweden,Europe,,0.25,0.004,0.002,0.016,,,7164,589,0.25,0.004,0.002,0.016,NA,NA,-2,-7.965784285,-8.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#63,2013,Sweden,Europe,,0.19,32,0.008,0.016,,,217,175,0.19,32,0.008,0.016,NA,NA,-2.395928676,5,-6.965784285,-5.965784285,NA,NA,0,1,0,0,NA,NA
17150_2#64,2013,Sweden,Europe,,0.19,12,0.032,0.047,,,multiple,655,0.19,12,0.032,0.047,NA,NA,-2.395928676,3.584962501,-4.965784285,-4.411195433,NA,NA,0,1,0,0,NA,NA
17150_2#65,2013,Sweden,Europe,,0.19,0.004,0.004,0.016,,,1313,120,0.19,0.004,0.004,0.016,NA,NA,-2.395928676,-7.965784285,-7.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#66,2013,Sweden,Europe,,0.38,0.004,0.004,0.016,,,7164,589,0.38,0.004,0.004,0.016,NA,NA,-1.395928676,-7.965784285,-7.965784285,-5.965784285,NA,NA,0,0,0,0,NA,NA
17150_2#67,2013,Sweden,Europe,,0.094,0.004,0.006,0.016,,,292,203,0.094,0.004,0.006,0.016,NA,NA,-3.411195433,-7.965784285,-7.380821784,-5.965784285,NA,NA,0,0,0,0,NA,NA
